iter	Passed	Remaining
1325	145872	624193
1326	145975	624055
1327	146076	623904
1328	146177	623758
1329	146280	623618
1330	146385	623486
1331	146491	623358
1332	146591	623207
1333	146696	623076
1334	146797	622925
1335	146902	622796
1336	147003	622649
1337	147104	622501
1338	147208	622364
1339	147310	622220
1340	147411	622074
1341	147520	621959
1342	147704	622161
1343	147811	622041
1344	147913	621897
1345	148025	621793
1346	148119	621619
1347	148238	621546
1348	148342	621409
1349	148442	621260
1350	148545	621121
1351	148653	621001
1352	148755	620859
1353	148854	620702
1354	148985	620683
1355	149134	620733
1356	149347	621052
1357	149450	620911
1358	149548	620754
1359	149653	620622
1360	149760	620500
1361	149902	620520
1362	150025	620466
1363	150120	620294
1364	150223	620152
1365	150324	620006
1366	150423	619852
1367	150529	619724
1368	150631	619579
1369	150729	619420
1370	150831	619276
1371	150934	619139
1372	151033	618983
1373	151138	618853
1374	151241	618715
1375	151343	618571
1376	151443	618420
1377	151547	618286
1378	151649	618144
1379	151753	618011
1380	151851	617853
1381	151958	617730
1382	152065	617606
1383	152194	617574
1384	152314	617506
1385	152411	617343
1386	152502	617157
1387	152599	616993
1388	152702	616856
1389	152805	616718
1390	152905	616568
1391	153007	616427
1392	153105	616267
1393	153248	616293
1394	153347	616138
1395	153449	615994
1396	153574	615948
1397	153734	616038
1398	153840	615910
1399	153943	615773
1400	154048	615643
1401	154167	615569
1402	154270	615431
1403	154393	615373
1404	154569	615526
1405	154670	615383
1406	154779	615266
1407	154878	615115
1408	154977	614958
1409	155082	614830
1410	155186	614695
1411	155290	614562
1412	155397	614443
1413	155582	614629
1414	155802	614953
1415	155976	615092
1416	156177	615339
1417	156284	615218
1418	156389	615089
1419	156487	614928
1420	156584	614767
1421	156680	614601
1422	156853	614738
1423	156950	614575
1424	157051	614427
1425	157155	614293
1426	157253	614136
1427	157354	613991
1428	157458	613858
1429	157563	613725
1430	157664	613579
1431	157763	613426
1432	157868	613296
1433	157970	613153
1434	158069	613000
1435	158174	612872
1436	158280	612743
1437	158380	612596
1438	158479	612440
1439	158585	612316
1440	158692	612195
1441	158828	612184
1442	158927	612032
1443	159089	612120
1444	159255	612222
1445	159386	612195
1446	159573	612380
1447	159704	612348
1448	159803	612193
1449	159905	612051
1450	160007	611909
1451	160110	611772
1452	160209	611617
1453	160313	611484
1454	160414	611340
1455	160516	611196
1456	160610	611026
1457	160779	611137
1458	160978	611366
1459	161154	611503
1460	161359	611753
1461	161493	611731
1462	161594	611586
1463	161693	611432
1464	161788	611261
1465	161888	611111
1466	161987	610960
1467	162088	610812
1468	162187	610661
1469	162289	610519
1470	162389	610367
1471	162486	610207
1472	162588	610067
1473	162685	609904
1474	162781	609742
1475	162883	609599
1476	162985	609458
1477	163089	609321
1478	163215	609269
1479	163313	609113
1480	163413	608965
1481	163510	608804
1482	163606	608644
1483	163778	608760
1484	163886	608641
1485	163986	608495
1486	164094	608374
1487	164202	608256
1488	164365	608340
1489	164467	608198
1490	164614	608223
1491	164715	608080
1492	164862	608103
1493	164970	607984
1494	165072	607842
1495	165177	607710
1496	165278	607566
1497	165378	607417
1498	165485	607297
1499	165587	607155
1500	165691	607020
1501	165803	606915
1502	165905	606776
1503	166072	606871
1504	166174	606729
1505	166271	606572
1506	166374	606434
1507	166476	606291
1508	166577	606147
1509	166682	606018
1510	166789	605896
1511	166892	605759
1512	166992	605610
1513	167093	605465
1514	167204	605355
1515	167300	605194
1516	167405	605064
1517	167506	604920
1518	167606	604773
1519	167706	604627
1520	167817	604518
1521	167917	604369
1522	168019	604230
1523	168117	604074
1524	168228	603966
1525	168369	603967
1526	168470	603824
1527	168571	603681
1528	168670	603529
1529	168764	603361
1530	168875	603251
1531	168972	603094
1532	169071	602944
1533	169173	602805
1534	169269	602642
1535	169409	602637
1536	169512	602503
1537	169657	602517
1538	169821	602595
1539	169999	602724
1540	170105	602599
1541	170214	602482
1542	170303	602299
1543	170412	602182
1544	170528	602093
1545	170685	602146
1546	170789	602014
1547	170898	601899
1548	170994	601738
1549	171096	601596
1550	171190	601431
1551	171291	601286
1552	171391	601139
1553	171489	600984
1554	171587	600830
1555	171683	600672
1556	171781	600518
1557	171889	600400
1558	171987	600244
1559	172087	600098
1560	172189	599960
1561	172287	599809
1562	172384	599650
1563	172486	599511
1564	172587	599368
1565	172685	599214
1566	172785	599070
1567	172961	599188
1568	173062	599044
1569	173174	598940
1570	173268	598773
1571	173373	598645
1572	173472	598497
1573	173576	598365
1574	173678	598225
1575	173782	598093
1576	173885	597958
1577	173993	597840
1578	174090	597686
1579	174197	597564
1580	174303	597440
1581	174422	597358
1582	174547	597298
1583	174675	597247
1584	174775	597102
1585	174884	596989
1586	174990	596863
1587	175103	596763
1588	175272	596852
1589	175372	596708
1590	175494	596635
1591	175808	597220
1592	176047	597545
1593	176174	597490
1594	176307	597455
1595	176407	597309
1596	176507	597164
1597	176611	597029
1598	176711	596884
1599	176816	596756
1600	176917	596611
1601	177021	596481
1602	177121	596333
1603	177222	596190
1604	177323	596051
1605	177421	595897
1606	177585	595967
1607	177687	595827
1608	177787	595681
1609	177896	595565
1610	178004	595448
1611	178100	595289
1612	178200	595144
1613	178298	594991
1614	178398	594844
1615	178501	594710
1616	178604	594576
1617	178700	594416
1618	178801	594275
1619	178902	594133
1620	178994	593962
1621	179102	593841
1622	179198	593685
1623	179293	593523
1624	179394	593380
1625	179506	593278
1626	179657	593300
1627	179782	593237
1628	179920	593217
1629	180090	593302
1630	180249	593354
1631	180349	593208
1632	180448	593060
1633	180554	592935
1634	180654	592790
1635	180757	592653
1636	180860	592519
1637	180961	592377
1638	181066	592250
1639	181197	592205
1640	181293	592047
1641	181404	591940
1642	181501	591786
1643	181623	591711
1644	181717	591549
1645	181820	591413
1646	181918	591263
1647	182015	591107
1648	182199	591235
1649	182301	591098
1650	182400	590952
1651	182500	590807
1652	182602	590669
1653	182707	590539
1654	182808	590399
1655	182906	590250
1656	183004	590099
1657	183112	589980
1658	183228	589887
